measurement;ID;ID2;date;d18O;x;y;SE_permill;SE_percent;OH;Distance_um
16;F;BH-00405;12.09.2021;-8.7661812;-6840;-2552;0.23;0.08;0.0374;544.9119195
17;F;BH-00405;12.09.2021;-8.7370809;-6845;-2516;0.17;0.04;0.0414;508.5666131
18;F;BH-00405;12.09.2021;-8.5721792;-6850;-2480;0.27;0.1;0.0412;472.2213464
19;F;BH-00405;12.09.2021;-7.0686637;-6855;-2444;0.16;0.08;0.0383;435.8761292
20;F;BH-00405;12.09.2021;-7.1850649;-6860;-2408;0.16;0.05;0.0367;399.530975
21;F;BH-00405;12.09.2021;-8.5236787;-6865;-2372;0.18;0.04;0.0398;363.1859028
22;F;BH-00405;12.09.2021;-8.843782;-6870;-2336;0.16;0.27;0.0403;326.8409399
23;F;BH-00405;12.09.2021;-9.1056847;-6875;-2300;0.14;0.11;0.0386;290.4961273
24;F;BH-00405;12.09.2021;-9.4160879;-6880;-2264;0.2;0.05;0.0405;254.1515296
25;F;BH-00405;12.09.2021;-8.8631822;-6885;-2228;0.2;0.06;0.042;217.8072542
26;F;BH-00405;12.09.2021;-8.5236787;-6890;-2192;0.17;0.09;0.0384;181.463495
27;F;BH-00405;12.09.2021;-8.9310829;-6895;-2156;0.15;0.2;0.039;145.1206395
28;F;BH-00405;12.09.2021;-8.7952815;-6900;-2120;0.18;0.14;0.0393;108.7795937
29;F;BH-00405;12.09.2021;-9.134785;-6905;-2084;0.15;0.1;0.0404;72.44308111
30;F;BH-00405;12.09.2021;-9.4936887;-6909;-2048;0.23;0.12;0.0403;36.22154055
31;F;core;12.09.2021;-8.8534821;-6913;-2012;0.18;0.1;0.0406;0
1;G;margin;12.09.2021;NA;-4696;-6222;0.31;0.16;0.0375;1474.829482
2;G;BH-00411;12.09.2021;-7.3984671;-4693;-6187;0.19;0.04;0.0394;1439.701358
3;G;BH-00411;12.09.2021;-5.5845484;-4690;-6152;0.17;0.1;0.0378;1404.573245
4;G;BH-00411;12.09.2021;-3.9646317;-4687;-6117;0.18;0.06;0.0363;1369.445143
