measurement;ID;ID2;date;d18O;x;y;SE_permill;SE_percent;OH;site;Distance_um
10;22;BH-01860;05.06.2021;-6.6321592;4397;-3094;0.012;0.043;0.045;WRB;1498.370448
11;22;BH-01860;05.06.2021;-5.836751;4389;-3055;0.011;0.046;0.055;WRB;1458.558535
12;22;BH-01860;05.06.2021;-4.7309396;4381;-3016;0.011;0.1;0.047;WRB;1418.74663
13;22;BH-01860;05.06.2021;-6.5448583;4373;-2977;0.015;0.088;0.056;WRB;1378.934734
14;22;BH-01860;05.06.2021;-7.5051682;4364;-2938;0.01;0.07;0.045;WRB;1338.91934
15;22;BH-01860;05.06.2021;-5.7979506;4356;-2899;0.009;0.111;0.044;WRB;1299.107386
16;22;BH-01860;05.06.2021;-6.1665544;4348;-2860;0.01;0.156;0.056;WRB;1259.295438
17;22;BH-01860;05.06.2021;-4.866741;4340;-2821;0.008;0.275;0.058;WRB;1219.483497
18;22;BH-01860;05.06.2021;-5.6621492;4331;-2782;0.011;0.119;0.046;WRB;1179.468524
19;22;BH-01860;05.06.2021;-5.9240519;4323;-2743;0.009;0.055;0.052;WRB;1139.656527
20;22;BH-01860;05.06.2021;-7.5633688;4315;-2704;0.013;0.111;0.055;WRB;1099.844534
21;22;BH-01860;05.06.2021;-6.7291602;4306;-2665;0.012;0.066;0.045;WRB;1059.830175
22;22;BH-01860;05.06.2021;-7.3402665;4298;-2626;0.012;0.122;0.045;WRB;1020.018137
23;22;BH-01860;05.06.2021;-6.6321592;4290;-2587;0.011;0.076;0.043;WRB;980.2061008
24;22;BH-01860;05.06.2021;-5.0801432;4282;-2547;0.013;0.05;0.046;WRB;939.4147114
25;22;BH-01860;05.06.2021;-5.1189436;4273;-2507;0.011;0.099;0.039;WRB;898.4213933
26;22;BH-01860;05.06.2021;-5.8852515;4265;-2467;0.011;0.075;0.04;WRB;857.6298735
27;22;BH-01860;05.06.2021;-6.5545584;4257;-2427;0.012;0.047;0.044;WRB;816.8384173
28;22;BH-01860;05.06.2021;-7.8349716;4249;-2387;0.015;0.119;0.049;WRB;776.0470347
29;22;BH-01860;05.06.2021;-6.2053548;4240;-2347;0.01;0.037;0.046;WRB;735.0537395
30;22;BH-01860;05.06.2021;-6.4090569;4232;-2307;0.015;0.069;0.046;WRB;694.2621983
31;22;BH-01860;05.06.2021;-4.8376407;4224;-2267;0.013;0.142;0.047;WRB;653.4707339
32;22;BH-01860;05.06.2021;-5.254745;4216;-2227;0.011;0.083;0.047;WRB;612.6793615
33;22;BH-01860;05.06.2021;-5.0413428;4207;-2187;0.009;0.079;0.043;WRB;571.6861027
34;22;BH-01860;05.06.2021;-5.6039486;4199;-2147;0.01;0.028;0.041;WRB;530.8945281
35;22;BH-01860;05.06.2021;-5.7300499;4191;-2107;0.009;0.042;0.044;WRB;490.1030504
36;22;BH-01860;05.06.2021;-7.1462645;4182;-2067;0.011;0.033;0.044;WRB;449.1102315
37;22;BH-01860;05.06.2021;-6.1180539;4174;-2027;0.013;0.098;0.042;WRB;408.3185031
38;22;BH-01860;05.06.2021;-7.5924691;4166;-1987;0.012;0.102;0.044;WRB;367.5268698
39;22;BH-01860;05.06.2021;-6.8843618;4158;-1947;0.012;0.071;0.051;WRB;326.7353669
40;22;BH-01860;05.06.2021;-5.8852515;4149;-1907;0.011;0.057;0.049;WRB;285.7428914
41;22;BH-01860;05.06.2021;-6.6515594;4141;-1867;0.011;0.045;0.046;WRB;244.9510155
42;22;BH-01860;05.06.2021;-7.2044651;4133;-1827;0.016;0.06;0.047;WRB;204.1592516
43;22;BH-01860;05.06.2021;-6.5739586;4125;-1787;0.011;0.072;0.046;WRB;163.3676835
44;22;BH-01860;05.06.2021;-6.0113528;4116;-1747;0.013;0.096;0.045;WRB;122.3764683
45;22;BH-01860;05.06.2021;-7.2723658;4108;-1707;0.014;0.611;0.059;WRB;81.58431222
46;22;BH-01860;05.06.2021;-6.7970609;4100;-1667;0.012;0.714;0.051;WRB;40.79215611
47;22;core;05.06.2021;-7.9319726;4092;-1627;0.014;0.221;0.071;WRB;0
1;23;margin;05.06.2021;-6.612759;0;-5768;0.014;0.196;0.04;WRB;1919.137827
2;23;BH-01738;05.06.2021;-7.1753648;27;-5739;0.014;0.077;0.04;WRB;1879.514831
3;23;BH-01738;05.06.2021;-5.9919526;54;-5709;0.009;0.043;0.043;WRB;1839.157688
4;23;BH-01738;05.06.2021;-8.5624791;81;-5679;0.009;0.096;0.065;WRB;1798.800712
5;23;BH-01738;05.06.2021;-6.6806597;108;-5649;0.01;0.102;0.042;WRB;1758.443914
6;23;BH-01738;05.06.2021;-5.7203498;135;-5619;0.01;0.108;0.045;WRB;1718.087309
7;23;BH-01738;05.06.2021;-7.388767;162;-5589;0.012;0.068;0.058;WRB;1677.730908
8;23;BH-01738;05.06.2021;-6.903762;189;-5559;0.009;0.18;0.043;WRB;1637.374728
9;23;BH-01738;05.06.2021;-4.6339386;216;-5529;0.013;0.053;0.043;WRB;1597.018785
10;23;BH-01738;05.06.2021;-5.0219426;243;-5499;0.012;0.047;0.043;WRB;1556.663098
11;23;BH-01738;05.06.2021;-6.418757;270;-5469;0.01;0.096;0.046;WRB;1516.307686
12;23;BH-01738;05.06.2021;-7.0201632;297;-5439;0.014;0.106;0.047;WRB;1475.952574
