"fishID"	"capt_date"	"TL_mm"	"weight"	"sex"	"area"	"age"	"cohort"	"lifeyear"	"inc_um"	"rad_um"	"core"	"sims_dist"	"d18O"	"comment"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	1	439.4	439.4	132.2	346.606405	-8.0192735	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	1	439.4	439.4	132.2	382.0366475	-7.8155714	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	1	439.4	439.4	132.2	415.8665651	-7.4566677	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	2	202	641.4	132.2	451.6015943	-7.7864711	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	2	202	641.4	132.2	485.1267876	-9.3384871	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	2	202	641.4	132.2	520.8617859	-8.5139786	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	2	202	641.4	132.2	554.3870489	-8.6400799	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	2	202	641.4	132.2	590.1220213	-8.1259746	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	2	202	641.4	132.2	624.5998719	-5.9046517	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	3	216.9	858.3	132.2	659.3822867	-7.9416727	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	3	216.9	858.3	132.2	694.164966	-8.067774	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	3	216.9	858.3	132.2	728.6425736	-8.3878773	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	3	216.9	858.3	132.2	763.4251764	-8.5624791	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	3	216.9	858.3	132.2	797.9028763	-8.4072775	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	3	216.9	858.3	132.2	832.6854148	-5.2838453	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	4	242.1	1100.4	132.2	867.1631911	-8.5721792	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	4	242.1	1100.4	132.2	901.9456746	-8.9504831	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	4	242.1	1100.4	132.2	936.4235153	-9.3093868	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	4	242.1	1100.4	132.2	971.2059514	-8.9795834	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	4	242.1	1100.4	132.2	1005.988569	-8.9601832	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	4	242.1	1100.4	132.2	1040.466242	-7.2141652	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	4	242.1	1100.4	132.2	1075.248808	-5.7882505	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	5	178.1	1278.5	132.2	1109.726543	-8.5624791	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	5	178.1	1278.5	132.2	1144.509065	-8.9795834	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	5	178.1	1278.5	132.2	1178.986853	-8.164775	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	5	178.1	1278.5	132.2	1213.769336	-6.7582605	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	5	178.1	1278.5	132.2	1248.551961	-6.127754	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	6	168.8	1447.3	132.2	1283.029618	-7.2626657	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	6	168.8	1447.3	132.2	1317.812202	-7.3596667	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	6	168.8	1447.3	132.2	1352.28991	-7.8931722	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	6	168.8	1447.3	132.2	1387.072457	-7.6603698	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	6	168.8	1447.3	132.2	1421.55021	-7.485768	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	7	110	1557.3	132.2	1456.332723	-8.7661812	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	7	110	1557.3	132.2	1490.810518	-7.5439686	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	7	110	1557.3	132.2	1525.592999	-5.8755514	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	8	130.6	1687.9	132.2	1560.375596	-7.6215694	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	8	130.6	1687.9	132.2	1594.853285	-7.3305664	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	8	130.6	1687.9	132.2	1629.635849	-7.2335654	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	8	130.6	1687.9	132.2	1664.113578	-5.157744	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	9	102.7	1790.6	132.2	1698.896112	-8.3684771	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	9	102.7	1790.6	132.2	1733.373878	-6.4478573	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	9	102.7	1790.6	132.2	1768.156384	-2.7133188	"OK"
"BH-00391"	"2019-07-11"	903	5220	"f"	"Barthe"	9	2010	10	6.2	1806.8	132.2	1803.586704	-7.0880639	"OK"
"BH-00392"	"2019-07-11"	930	5600	"f"	"Barthe"	7	2012	1	493	513	228.5	0	-8.1259746	"OK"
"BH-00392"	"2019-07-11"	930	5600	"f"	"Barthe"	7	2012	1	493	513	228.5	36.05551275	-7.8640719	"OK"
"BH-00392"	"2019-07-11"	930	5600	"f"	"Barthe"	7	2012	1	493	513	228.5	72.11102551	-8.0871742	"OK"
"BH-00392"	"2019-07-11"	930	5600	"f"	"Barthe"	7	2012	1	493	513	228.5	108.1665383	-7.4275674	"OK"
"BH-00392"	"2019-07-11"	930	5600	"f"	"Barthe"	7	2012	1	493	513	228.5	144.222051	-7.5924691	"OK"
